yearID,lgID,G,W,WIN PCT,R,AB,H,HR,BB,SO,SB,RA,ERA,HA,E,FP,RUNDIFF
2002,AL,162,67,0.413580247,667,5491,1353,165,452,993,110,773,4.46,1491,91,0.985,0
2002,AL,162,93,0.574074074,859,5640,1560,177,545,944,80,665,3.75,1339,104,0.983,1
2002,AL,162,81,0.5,856,5502,1475,217,555,952,75,798,4.53,1422,97,0.984,1
2002,NL,162,67,0.413580247,706,5496,1351,200,585,1269,63,759,4.29,1373,114,0.981,0
2002,NL,162,78,0.481481481,709,5470,1386,169,583,1188,116,774,4.27,1502,120,0.981,0
2002,AL,162,74,0.456790123,739,5423,1349,192,542,1000,52,837,4.91,1508,113,0.981,0
2002,NL,162,73,0.450617284,778,5512,1508,152,497,1043,103,898,5.2,1554,112,0.982,0
2002,AL,161,55,0.341614907,575,5406,1340,124,363,1035,65,864,4.92,1593,142,0.977,0
2002,NL,162,79,0.487654321,699,5496,1433,146,595,1130,177,763,4.36,1449,106,0.983,0
2002,NL,162,84,0.518518519,749,5503,1441,167,589,1120,71,695,4,1423,83,0.986,1
2002,AL,162,62,0.382716049,737,5535,1415,140,524,921,140,891,5.21,1587,130,0.979,0
2002,NL,162,92,0.567901235,713,5554,1464,155,428,940,96,643,3.69,1311,90,0.985,1
2002,NL,162,56,0.345679012,627,5415,1369,139,500,1125,94,821,4.73,1468,103,0.983,0
2002,AL,161,94,0.583850932,768,5582,1518,167,472,1089,79,712,4.12,1454,74,0.987,1
2002,NL,162,83,0.512345679,735,5479,1432,162,575,1104,118,718,3.97,1475,139,0.978,1
2002,AL,161,103,0.639751553,897,5601,1540,223,640,1171,100,697,3.87,1441,127,0.979,1
2002,NL,161,75,0.465838509,690,5496,1409,160,486,1044,87,703,3.89,1408,144,0.976,0
2002,AL,162,103,0.635802469,800,5558,1450,205,609,1008,46,654,3.68,1391,102,0.984,1
2002,NL,161,80,0.49689441,710,5523,1428,165,640,1095,104,724,4.17,1381,88,0.986,0
2002,NL,161,72,0.447204969,641,5330,1300,142,537,1109,86,730,4.23,1447,115,0.982,0
2002,NL,162,66,0.407407407,662,5515,1393,136,547,1062,71,815,4.62,1522,128,0.979,0
2002,AL,162,93,0.574074074,814,5569,1531,152,629,1003,137,699,4.07,1422,88,0.985,1
2002,NL,162,95,0.586419753,783,5497,1465,198,616,961,74,616,3.54,1349,90,0.985,1
2002,NL,162,97,0.598765432,787,5505,1475,175,542,927,86,648,3.7,1355,103,0.983,1
2002,AL,161,55,0.341614907,673,5604,1418,133,456,1115,102,918,5.29,1567,126,0.979,0
2002,AL,162,72,0.444444444,843,5618,1510,230,554,1055,62,882,5.15,1528,99,0.984,0
2002,AL,162,78,0.481481481,813,5581,1457,187,522,1142,71,828,4.8,1504,107,0.982,0
2003,AL,162,77,0.475308642,736,5487,1473,150,476,838,129,743,4.28,1444,105,0.982,0
2003,NL,162,84,0.518518519,717,5570,1467,152,531,1006,76,685,3.84,1379,107,0.983,1
2003,NL,162,101,0.62345679,907,5670,1608,235,545,933,68,740,4.1,1425,121,0.981,1
2003,AL,163,71,0.435582822,743,5665,1516,152,431,902,89,820,4.76,1579,105,0.983,0
2003,AL,162,95,0.586419753,961,5769,1667,238,620,943,88,809,4.48,1503,113,0.982,1
2003,AL,162,86,0.530864198,791,5487,1445,220,519,916,77,715,4.17,1364,93,0.984,1
2003,NL,162,88,0.543209877,724,5519,1431,172,492,1158,73,683,3.83,1304,106,0.983,1
2003,NL,162,69,0.425925926,694,5509,1349,182,524,1326,80,886,5.09,1578,141,0.977,0
2003,AL,162,68,0.419753086,699,5572,1413,158,466,1062,86,778,4.21,1477,126,0.98,0
2003,NL,162,74,0.456790123,853,5518,1472,198,619,1134,63,892,5.2,1629,116,0.981,0
2003,AL,162,43,0.265432099,591,5466,1312,153,443,1099,98,928,5.3,1616,138,0.978,0
2003,NL,162,91,0.561728395,751,5490,1459,157,515,978,150,692,4.04,1415,78,0.987,1
2003,NL,162,87,0.537037037,805,5583,1466,191,557,1021,66,677,3.86,1350,95,0.985,1
2003,AL,162,83,0.512345679,836,5568,1526,162,476,926,120,867,5.05,1569,108,0.982,0
2003,NL,162,85,0.524691358,574,5458,1328,124,407,985,80,556,3.16,1254,119,0.981,1
2003,NL,162,68,0.419753086,714,5548,1423,196,547,1221,99,873,5.02,1590,114,0.981,0
2003,AL,162,90,0.555555556,801,5655,1567,155,512,1027,94,758,4.41,1526,87,0.985,1
2003,NL,162,83,0.512345679,711,5437,1404,144,522,990,100,716,4.01,1467,102,0.983,0
2003,AL,163,101,0.619631902,877,5605,1518,230,684,1042,98,716,4.02,1512,114,0.981,1
2003,NL,161,66,0.409937888,642,5341,1317,124,489,1035,70,754,4.48,1497,118,0.98,0
2003,AL,162,96,0.592592593,768,5497,1398,176,556,898,48,643,3.63,1336,107,0.983,1
2003,NL,162,86,0.530864198,791,5543,1448,166,651,1155,72,697,4.04,1386,97,0.984,1
2003,NL,162,75,0.462962963,753,5581,1492,163,529,1049,86,801,4.64,1527,123,0.98,0
2003,NL,162,64,0.395061728,678,5531,1442,128,565,1073,76,831,4.87,1458,102,0.983,0
2003,AL,162,93,0.574074074,795,5561,1509,139,586,989,108,637,3.76,1340,65,0.989,1
2003,NL,161,100,0.621118012,755,5456,1440,180,593,980,53,638,3.73,1349,80,0.987,1
2003,NL,162,85,0.524691358,876,5672,1580,196,580,952,82,796,4.6,1544,77,0.987,1
2003,AL,162,63,0.388888889,715,5654,1501,137,420,1030,142,852,4.93,1454,103,0.983,0
2003,AL,162,71,0.438271605,826,5664,1506,239,488,1052,65,969,5.67,1625,94,0.985,0
2003,AL,162,86,0.530864198,894,5661,1580,190,546,1081,37,826,4.69,1560,117,0.981,1
2004,AL,162,92,0.567901235,836,5675,1603,162,450,942,143,734,4.28,1476,90,0.985,1
2004,NL,162,51,0.314814815,615,5544,1401,135,441,1022,53,899,4.98,1480,139,0.977,0
2004,NL,162,96,0.592592593,803,5570,1503,178,587,1158,86,668,3.74,1475,116,0.981,1
2004,AL,162,78,0.481481481,842,5736,1614,169,528,949,101,830,4.7,1488,110,0.982,1
2004,AL,162,98,0.604938272,949,5720,1613,222,659,1189,68,768,4.18,1430,118,0.981,1
2004,AL,162,83,0.512345679,865,5534,1481,242,499,1030,78,831,4.91,1505,100,0.984,1
2004,NL,162,89,0.549382716,789,5628,1508,235,489,1080,66,665,3.81,1363,86,0.986,1
2004,NL,162,76,0.469135802,750,5518,1380,194,599,1335,77,907,5.19,1595,113,0.981,0
2004,AL,162,80,0.49382716,858,5676,1565,184,606,1009,94,857,4.81,1553,106,0.983,1
2004,NL,162,68,0.419753086,833,5577,1531,202,568,1181,44,923,5.54,1634,89,0.986,0
2004,AL,162,72,0.444444444,827,5623,1531,201,518,1144,86,844,4.93,1542,144,0.977,0
2004,NL,162,83,0.512345679,718,5486,1447,148,499,968,96,700,4.1,1395,86,0.986,1
2004,NL,162,92,0.567901235,803,5468,1458,187,590,999,89,698,4.05,1416,101,0.983,1
2004,AL,162,58,0.358024691,720,5538,1432,150,461,1057,67,905,5.15,1638,131,0.978,0
2004,NL,162,93,0.574074074,761,5542,1450,203,536,1092,102,684,4.01,1386,73,0.988,1
2004,NL,161,67,0.416149068,634,5483,1358,135,540,1312,138,757,4.24,1440,117,0.981,0
2004,AL,162,92,0.567901235,780,5623,1494,191,513,982,116,715,4.03,1523,101,0.984,1
